genome_id	genus	species	source_type
LABG_000535	Lactobacillus	Lactobacillus paragasseri	human
LABG_000536	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000537	Limosilactobacillus	Limosilactobacillus fermentum	human
LABG_000538	Lactobacillus	Lactobacillus paragasseri	human
LABG_000539	Lactobacillus	Lactobacillus gasseri	human
LABG_000540	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000541	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000542	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000543	Limosilactobacillus	Limosilactobacillus fermentum	human
LABG_000544	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000545	Lactobacillus	Lactobacillus gasseri	human
LABG_000546	Lactobacillus	Lactobacillus amylovorus	human
LABG_000547	Lactobacillus	Lactobacillus acidophilus	human
LABG_000548	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000549	Ligilactobacillus	Ligilactobacillus ruminis	human
LABG_000550	Ligilactobacillus	Ligilactobacillus ruminis	human
